Plante;RangPhyto;NbFoliolesParFeuil;LendFin;FolAFin;AppFeuil_SdjDeb
158;4;5;8.113943726;10;19.54705438
158;5;5;9.800554945;28.50642587;29.8157002
158;6;5;13.05639338;51.24502251;40.08434602
158;7;5;16.81865521;59.08479504;54.74164481
158;8;5;20.29385171;58.12353851;92.0185997
158;9;7;23.32509336;61.5099214;129.2955546
158;10;7;36.13718959;67.22064046;166.5725095
158;11;6;41.86645332;71.41645828;203.8494644
158;12;4;31.71181945;75.16792973;241.1264192
158;13;3;23.19925373;70;278.4033741
158;14;0;52.57569392;0;315.680329
159;1;0;1;0;49.98671469
159;2;0;1;0;49.98671496
159;3;0;1;0;49.98671523
159;4;0;2;0;49.9867155
159;5;0;8;0;49.98671577
159;6;0;8.038357391;0;49.98671605
159;7;0;17.07973307;0;49.98671632
159;8;5;15.86130659;55.8470593;49.98671659
159;9;3;17.20035126;69.41129223;79.62030863
159;10;5;19.59490426;64.68075144;116.9828815
159;11;5;18.72247014;60.03028321;154.3454544
159;12;5;18.07480744;63.50782736;191.7080273
159;13;3;28.90961817;72.52262819;229.0706003
159;14;2;45;62.04918888;266.4331732
159;15;0;61.86100008;0;303.7957461
162;1;0;1;0;-9.521279752
162;2;0;1;0;-2.380319938
162;3;0;5;0;4.760639876
162;4;0;8.066821123;0;11.90159969
162;5;5;10.37796879;31.19681541;19.04255951
162;6;5;12.18825838;52.57026017;26.18351932
162;7;5;14.24359687;51.21778835;68.65131353
162;8;7;21.07610724;55.86109035;111.2971779
162;9;7;28.37317987;70.14595559;153.9430423
162;10;7;39.62762966;69.7294529;196.5889067
162;11;5;38.27492154;72.67219602;239.2347711
162;12;4;27.31442878;77.897359;281.8806355
162;13;1;5.039005427;70;324.5264999
162;14;0;47.02687983;0;367.1723643
163;1;0;2;0;22.99261972
163;2;0;7;0;22.99262029
163;3;5;12.03226912;6.587352185;22.99262085
163;4;5;9.135423546;30.31033811;22.99262141
163;5;2;14.02520578;45;22.99262197
163;6;5;11.98375805;60.21637721;29.91478131
163;7;7;20.02184501;58.17900314;73.60363864
163;8;7;21.47759489;63.09036107;117.292496
163;9;7;32.34775706;66.08735271;160.9813533
163;10;5;34.60640324;67.00581089;204.6702106
163;11;5;40.98239493;77.582863;248.3590679
163;12;3;16.27108644;72.95449841;292.0479253
163;13;1;3.056453377;62.22301939;335.7367826
163;14;0;48.42990342;0;379.4256399
181;1;0;1;0;39.89038168
181;2;0;1;0;50.87481038
181;3;0;1;0;61.85923909
181;4;0;2;0;72.8436678
181;5;0;4;0;83.8280965
181;6;0;8.5;0;94.81252521
181;7;5;13.02052994;43.76807862;105.7969539
181;8;5;16.82979937;36.99537746;116.7813826
181;9;5;21.393094;67.02371623;139.2876619
181;10;5;32.48234879;74.88157932;177.1750753
181;11;3;32.54217198;71.70160223;215.0624886
181;12;1;4.113821459;77.33083654;252.949902
181;13;0;53.91942881;0;290.8373154
210;1;0;0.5;0;33.13483396
210;2;0;2;0;33.13483591
210;3;0;7;0;33.13483786
210;4;0;5;0;33.13483981
210;5;3;6.017422808;10;33.13484176
210;6;6;7.016221428;43.15571814;37.35218895
210;7;6;12.71778366;55.36806128;81.1424264
210;8;7;15.11408721;58.15459331;124.9326639
210;9;7;24.90500349;62.60635369;168.7229013
210;10;7;42.36704532;72.74108319;212.5131388
210;11;5;39.11175128;70.56091162;256.3033762
210;12;3;29.98056221;77.10037676;300.0936137
210;13;3;9.71116447;72.03742773;343.8838511
210;14;0;52.10760932;0;387.6740886
239;1;0;1;0;44.48609218
239;2;0;1;0;44.48609387
239;3;0;1;0;44.48609556
239;4;0;3;0;44.48609725
239;5;0;7;0;44.48609894
239;6;4;9.324584496;10.02920681;44.48610063
239;7;5;14.00376013;42.77134542;60.37426837
239;8;5;17.86850815;60.73551932;90.28565731
239;9;5;19.18810786;66.2854801;120.1970463
239;10;7;24.9328514;63.11148565;150.1084352
239;11;7;33.1174624;74.48687304;180.0198241
239;12;5;41.04374673;77.37464127;209.9312131
239;13;4;29.40049351;81.62715817;239.842602
239;14;3;20;69.27481403;269.7539909
239;15;0;40;0;299.6653799
251;1;0;3;0;33.13480713
251;2;0;8.048994768;0;33.13481593
251;3;5;7.097702669;12.59019275;33.13482473
251;4;5;10.06333681;43.66814741;33.13483353
251;5;5;14.22690015;49.46924024;33.13484233
251;6;7;17.178181;51.36704667;78.78435578
251;7;7;29.5615052;65.95012622;130.4605944
251;8;7;37.36603096;67.89913479;182.136833
251;9;5;40.67187929;69.24517564;233.8130716
251;10;3;35.16408533;69.39316056;285.4893102
251;11;1;43;66.37694027;337.1655488
251;12;0;50.91723682;0;388.8417874
263;1;0;1;0;0.00
263;2;0;3;0;0.00
263;3;0;9;0;0.00
263;4;5;8;19.37990757;0.00
263;5;5;12.65445533;48.67461491;0.00
263;6;5;11.95300917;63.69719815;22.12202475
263;7;5;16.0105137;60.16013046;66.37642888
263;8;7;20.14187636;61.06776109;110.630833
263;9;7;32.38172891;69.97267163;154.8852371
263;10;5;49.64641767;66.72273638;199.1396412
263;11;5;35.10003257;75.79077043;243.3940454
263;12;3;22.10142884;76.98464393;287.6484495
263;13;0;59.18135344;0;331.9028536
269;1;0;1;0;-8.569041411
