32	0	0
143	1	0
98	2	0
35	3	0
34	4	0
213	5	0
193	6	0
165	7	0
80	8	0
41	9	0
99	10	0
51	11	0
15	12	0
125	0	1
52	1	1
157	2	1
162	3	1
8	4	1
120	5	1
60	6	1
57	7	1
150	8	1
155	9	1
190	10	1
198	11	1
38	12	1
39	0	2
153	1	2
25	2	2
33	3	2
196	4	2
28	5	2
115	6	2
178	7	2
136	8	2
141	9	2
159	10	2
113	11	2
123	12	2
169	0	3
17	1	3
21	2	3
64	3	3
97	4	3
197	5	3
121	6	3
88	7	3
91	8	3
200	9	3
171	10	3
18	11	3
6	12	3
3	0	4
183	1	4
10	2	4
126	3	4
56	4	4
59	5	4
156	6	4
182	7	4
9	8	4
142	9	4
179	10	4
114	11	4
92	12	4
30	0	5
167	1	5
161	2	5
62	3	5
90	4	5
94	5	5
206	6	5
53	7	5
102	8	5
208	9	5
61	10	5
96	11	5
11	12	5
